ACNR,TITEL,AUTOR,LIBRETTIST,JAHR,BARCODE,SIGNATUR,IMAGES,LINK_ALMA,LINK_ASTOR,
AC14316254,L'anima immortale creata e redenta per il cielo,"Porsile, Giuseppe",,1722,+Z322214501,Mus.Hs.18128,148,https://data.onb.ac.at/rec/AC14316254,https://data.onb.ac.at/rep/13207F35,
AC14316255,Naboth,"Caldara, Antonio","Zeno, Apostolo",1729,+Z190176604,Mus.Hs.18133,354,https://data.onb.ac.at/rec/AC14316255,https://data.onb.ac.at/rep/131A92EC,
AC14316256,Sisara,"Porsile, Giuseppe","Zeno, Apostolo",1719,+Z322217009,Mus.Hs.18134,290,https://data.onb.ac.at/rec/AC14316256,https://data.onb.ac.at/rep/13207F33,
AC14316257,Sisara,"Porsile, Giuseppe",,1719,+Z322217502,Mus.Hs.18135,138,https://data.onb.ac.at/rec/AC14316257,https://data.onb.ac.at/rep/13207F31,
AC14316260,La colpa originale,"Conti, Francesco","Pariati, Pietro",1718,+Z283567109,Mus.Hs.18151,364,https://data.onb.ac.at/rec/AC14316260,https://data.onb.ac.at/rep/131E95D3,
AC14316261,La colpa originale,"Conti, Francesco",,1718,+Z283567201,Mus.Hs.18152,178,https://data.onb.ac.at/rec/AC14316261,https://data.onb.ac.at/rep/131E95D1,
AC14316262,Dio sul Sinai,"Conti, Francesco",,1719,+Z32221740X,Mus.Hs.18154,232,https://data.onb.ac.at/rec/AC14316262,https://data.onb.ac.at/rep/132092BC,
AC14316263,Naaman,"Conti, Francesco",,1721,+Z322217204,Mus.Hs.18155,335,https://data.onb.ac.at/rec/AC14316263,https://data.onb.ac.at/rep/13204688,
AC14316264,Naaman,"Conti, Francesco",,1721,+Z322217708,Mus.Hs.18156,162,https://data.onb.ac.at/rec/AC14316264,https://data.onb.ac.at/rep/13207F2F,
AC14316265,Mose Preservato,"Conti, Francesco",,1720,+Z19080360X,Mus.Hs.18157,297,https://data.onb.ac.at/rec/AC14316265,https://data.onb.ac.at/rep/13204812,
AC14316266,Mose preservato,"Conti, Francesco",,1720,+Z322218609,Mus.Hs.18158,142,https://data.onb.ac.at/rec/AC14316266,https://data.onb.ac.at/rep/13209210,
AC14316267,Il David perseguitato,"Conti, Francesco","d'Avanzo, A.",1723,+Z190803507,Mus.Hs.18159,367,https://data.onb.ac.at/rec/AC14316267,https://data.onb.ac.at/rep/13204814,
AC14316268,Il David perseguitato,"Conti, Francesco",,1723,+Z322218300,Mus.Hs.18160,162,https://data.onb.ac.at/rec/AC14316268,https://data.onb.ac.at/rep/132092B9,
AC14316269,David,"Conti, Francesco","Zeno, Apostolo",1724,+Z322218701,Mus.Hs.18161,506,https://data.onb.ac.at/rec/AC14316269,https://data.onb.ac.at/rep/13207F30,
AC14316270,David,"Conti, Francesco",,1724,+Z322218506,Mus.Hs.18162,178,https://data.onb.ac.at/rec/AC14316270,https://data.onb.ac.at/rep/13209212,
AC14316271,Il martirio di s. Lorenzo,"Conti, Francesco","Filippeschi, Giovanni Domenico",1724,+Z190838704,Mus.Hs.18163,305,https://data.onb.ac.at/rec/AC14316271,https://data.onb.ac.at/rep/13204811,
AC14316272,Il martirio di s. Lorenzo,"Conti, Francesco",,1724,+Z322218208,Mus.Hs.18164,114,https://data.onb.ac.at/rec/AC14316272,https://data.onb.ac.at/rep/13209211,
AC14316273,"Gioseffo, che interpreta i sogni","Conti, Francesco","Neri, Giambattista",1736,+Z322218804,Mus.Hs.18165,318,https://data.onb.ac.at/rec/AC14316273,https://data.onb.ac.at/rep/13204687,
AC14316274,"Gioseffo, che interpreta i sogni","Conti, Francesco",,1736,+Z322218403,Mus.Hs.18166,178,https://data.onb.ac.at/rec/AC14316274,https://data.onb.ac.at/rep/132092BA,
AC14316275,La Distruzione d'Hai,"Conti, Ignazio","Bosellini, Francesco",1728,+Z19094470X,Mus.Hs.18168,471,https://data.onb.ac.at/rec/AC14316275,https://data.onb.ac.at/rep/132080C5,
AC14316276,La distruzione d'Hai,"Conti, Ignazio",,1728,+Z322219808,Mus.Hs.18169,190,https://data.onb.ac.at/rec/AC14316276,https://data.onb.ac.at/rep/13209235,
AC14316277,Mose nell'Egitto,"Conti, Ignazio","Villati, Leopoldo <<de>>",1729,+Z322220100,Mus.Hs.18170,443,https://data.onb.ac.at/rec/AC14316277,https://data.onb.ac.at/rep/13207EF3,
AC14316278,Mose nell'Egitto,"Conti, Ignazio",,1729,+Z32221950X,Mus.Hs.18171,198,https://data.onb.ac.at/rec/AC14316278,https://data.onb.ac.at/rep/13207F2C,
AC14316279,Ezechia. Azione sacra,"Conti, Ignazio",,1733,+Z322220008,Mus.Hs.18172,404,https://data.onb.ac.at/rec/AC14316279,https://data.onb.ac.at/rep/13207EF5,
AC14316280,Ezechia,"Conti, Ignazio",,1733,+Z322219705,Mus.Hs.18173,168,https://data.onb.ac.at/rec/AC14316280,https://data.onb.ac.at/rep/13209236,
AC14316281,La Debbora,"Conti, Ignazio","Giusti, Francesca Manzoni",1735,+Z190860606,Mus.Hs.18174,422,https://data.onb.ac.at/rec/AC14316281,https://data.onb.ac.at/rep/132080C6,
AC14316282,La Debbora,"Conti, Ignazio",,1735,+Z322219407,Mus.Hs.18175,202,https://data.onb.ac.at/rec/AC14316282,https://data.onb.ac.at/rep/132092B7,
AC14316283,Il figliuol prodigo,"Conti, Ignazio","Pasquini, Giovanni Claudio",1735,+Z322220306,Mus.Hs.18176,286,https://data.onb.ac.at/rec/AC14316283,https://data.onb.ac.at/rep/13207EF1,
AC14316284,Il figliuol prodigo,"Conti, Ignazio",,1735,+Z322219304,Mus.Hs.18177,132,https://data.onb.ac.at/rec/AC14316284,https://data.onb.ac.at/rep/1320920F,
AC14316285,Del giusto afflitto nella persona di Giobbe,"Conti, Ignazio","Pasquini, Giovanni Claudio",1736,+Z322219900,Mus.Hs.18178,236,https://data.onb.ac.at/rec/AC14316285,https://data.onb.ac.at/rep/13207EF4,
AC14316286,Del giusto afflitto nella persona di Giobbe,"Conti, Ignazio",,1736,+Z322219602,Mus.Hs.18179,118,https://data.onb.ac.at/rec/AC14316286,https://data.onb.ac.at/rep/13207F2D,
AC14316287,L'empieta delusa,"Costa, Giovanni Antonio","Casal Monferrato, Carlo Giuseppe Cornacchia di",1715,+Z322219201,Mus.Hs.18181,297,https://data.onb.ac.at/rec/AC14316287,https://data.onb.ac.at/rep/13207F2E,
AC14316288,L'empieta delusa,"Costa, Giovanni Antonio",,1715,+Z32222080X,Mus.Hs.18182,134,https://data.onb.ac.at/rec/AC14316288,https://data.onb.ac.at/rep/13207EEF,
AC14316290,La fede sacrilega nella morte del precursor s. Giovanni Battista,"Fux, Johann Joseph",,1714,+Z322220707,Mus.Hs.18185,134,https://data.onb.ac.at/rec/AC14316290,https://data.onb.ac.at/rep/132092B8,
AC14316291,La donna forte nella madre de' sette Macabei,"Fux, Johann Joseph","Pariati, Pietro",1715,+Z190839101,Mus.Hs.18186,243,https://data.onb.ac.at/rec/AC14316291,https://data.onb.ac.at/rep/132080CF,
AC14316292,La donna forte nella madre de sette Maccabei,"Fux, Johann Joseph",,1715,+Z322220604,Mus.Hs.18187,102,https://data.onb.ac.at/rec/AC14316292,https://data.onb.ac.at/rep/13207EEE,
AC14316293,Il trionfo della fede,"Fux, Johann Joseph","Maddali, Bernardino",1716,+Z322220902,Mus.Hs.18188,255,https://data.onb.ac.at/rec/AC14316293,https://data.onb.ac.at/rep/13207EF0,
AC14316294,Il trionfo della fede,"Fux, Johann Joseph",,1716,+Z323227308,Mus.Hs.18189,106,https://data.onb.ac.at/rec/AC14316294,https://data.onb.ac.at/rep/132083ED,
AC14316295,"Il fonte della salute, aperto dalla grazia nel Calvario","Fux, Johann Joseph",,1716,+Z32222600X,Mus.Hs.18190,247,https://data.onb.ac.at/rec/AC14316295,https://data.onb.ac.at/rep/1320920E,
AC14316296,"Il fonte della salute, aperto dalla grazia nel Calvario","Fux, Johann Joseph",,1716,+Z323227503,Mus.Hs.18191,96,https://data.onb.ac.at/rec/AC14316296,https://data.onb.ac.at/rep/132083EE,
AC14316297,Il disfacimento di Sisara,"Fux, Johann Joseph",,1717,+Z190839204,Mus.Hs.18192,320,https://data.onb.ac.at/rec/AC14316297,https://data.onb.ac.at/rep/13209217,
AC14316298,Il disfacimento di Sisara,"Fux, Johann Joseph",,1717,+Z323227606,Mus.Hs.18193,140,https://data.onb.ac.at/rec/AC14316298,https://data.onb.ac.at/rep/1320920A,
AC14316299,Cristo nell'orto,"Fux, Johann Joseph",,1718,+Z323227400,Mus.Hs.18195,128,https://data.onb.ac.at/rec/AC14316299,https://data.onb.ac.at/rep/132083EF,
AC14316300,Gesu Cristo negato da Pietro,"Fux, Johann Joseph",,1719,+Z213972004,Mus.Hs.18196,258,https://data.onb.ac.at/rec/AC14316300,https://data.onb.ac.at/dtl/7744611,
AC14316301,Gesu Cristo negato da Pietro,"Fux, Johann Joseph",,1719,+Z21397220X,Mus.Hs.18197/1,38,https://data.onb.ac.at/rec/AC14316301,https://data.onb.ac.at/dtl/7743283,
AC14316301,Gesu Cristo negato da Pietro,"Fux, Johann Joseph",,1719,+Z213972302,Mus.Hs.18197/2,30,https://data.onb.ac.at/rec/AC14316301,https://data.onb.ac.at/dtl/7743362,
AC14316301,Gesu Cristo negato da Pietro,"Fux, Johann Joseph",,1719,+Z213972405,Mus.Hs.18197/3,30,https://data.onb.ac.at/rec/AC14316301,https://data.onb.ac.at/dtl/7744548,
AC14316301,Gesu Cristo negato da Pietro,"Fux, Johann Joseph",,1719,+Z213972508,Mus.Hs.18197/4,26,https://data.onb.ac.at/rec/AC14316301,https://data.onb.ac.at/dtl/7743498,
AC14316301,Gesu Cristo negato da Pietro,"Fux, Johann Joseph",,1719,+Z213972600,Mus.Hs.18197/5,46,https://data.onb.ac.at/rec/AC14316301,https://data.onb.ac.at/dtl/7743553,
AC14316302,La cena del signore,"Fux, Johann Joseph",,1720,+Z28359020X,Mus.Hs.18199,162,https://data.onb.ac.at/rec/AC14316302,https://data.onb.ac.at/rep/131F80C4,
AC14316303,Il testamento di nostro signore Gesu Cristo sul Calvario,"Fux, Johann Joseph","Pariati, Pietro",1726,+Z190838807,Mus.Hs.18200,346,https://data.onb.ac.at/rec/AC14316303,https://data.onb.ac.at/rep/131EF176,
AC14316304,Il testamento di nostro signore Gesu Cristo sul Calvario,"Fux, Johann Joseph",,1726,+Z323227904,Mus.Hs.18201,126,https://data.onb.ac.at/rec/AC14316304,https://data.onb.ac.at/rep/13209208,
AC14316305,Daniello,"Hasse, Johann Adolf","Zeno, Apostolo",1731,+Z270171501,Mus.Hs.18212,434,https://data.onb.ac.at/rec/AC14316305,https://data.onb.ac.at/rep/131B1153,
AC14316307,Tobia,"Porsile, Giuseppe",,1720,+Z323227709,Mus.Hs.18215,168,https://data.onb.ac.at/rec/AC14316307,https://data.onb.ac.at/rep/1320920B,
AC14316309,"Il zelo eroico di s. Carlo Borromeo, sterminatore del vizio","Macchio, Giacomo",,1716,+Z322226801,Mus.Hs.18218,214,https://data.onb.ac.at/rec/AC14316309,https://data.onb.ac.at/rep/132083F1,
AC14316310,"Il zelo eroico di san Carlo Borromeo, sterminatore del vizio","Macchio, Giacomo",,1716,+Z322227003,Mus.Hs.18219,122,https://data.onb.ac.at/rec/AC14316310,https://data.onb.ac.at/rep/13209209,
AC14316311,Scipione nelle Spagne,"Caldara, Antonio",,1722,+Z190173202,Mus.Hs.18221/1,94,https://data.onb.ac.at/rec/AC14316311,https://data.onb.ac.at/rep/131ABE0C,
AC14316311,Scipione nelle Spagne,"Caldara, Antonio",,1722,+Z190173305,Mus.Hs.18221/2,72,https://data.onb.ac.at/rec/AC14316311,https://data.onb.ac.at/rep/131ABE0D,
AC14316311,Scipione nelle Spagne,"Caldara, Antonio",,1722,+Z190173408,Mus.Hs.18221/3,48,https://data.onb.ac.at/rec/AC14316311,https://data.onb.ac.at/rep/131ABE0E,
AC14316311,Scipione nelle Spagne,"Caldara, Antonio",,1722,+Z190173500,Mus.Hs.18221/4,86,https://data.onb.ac.at/rec/AC14316311,https://data.onb.ac.at/rep/131ABE0F,
AC14316312,Andromaca,"Caldara, Antonio","Zeno, Apostolo",1724,+Z19083520X,Mus.Hs.18222/1,172,https://data.onb.ac.at/rec/AC14316312,https://data.onb.ac.at/dtl/9725618,
AC14316312,Andromaca,"Caldara, Antonio","Zeno, Apostolo",1724,+Z190835107,Mus.Hs.18222/2,130,https://data.onb.ac.at/rec/AC14316312,https://data.onb.ac.at/dtl/9721306,
AC14316312,Andromaca,"Caldara, Antonio","Zeno, Apostolo",1724,+Z190835004,Mus.Hs.18222/3,152,https://data.onb.ac.at/rec/AC14316312,https://data.onb.ac.at/dtl/9725964,
AC14316312,Andromaca,"Caldara, Antonio","Zeno, Apostolo",1724,+Z190834905,Mus.Hs.18222/4,122,https://data.onb.ac.at/rec/AC14316312,https://data.onb.ac.at/dtl/9721060,
AC14316312,Andromaca,"Caldara, Antonio","Zeno, Apostolo",1724,+Z190834802,Mus.Hs.18222/5,190,https://data.onb.ac.at/rec/AC14316312,https://data.onb.ac.at/dtl/9725236,
AC14316313,Andromaca,"Caldara, Antonio",,1724,+Z190172702,Mus.Hs.18223/1,72,https://data.onb.ac.at/rec/AC14316313,https://data.onb.ac.at/rep/131ABE6C,
AC14316313,Andromaca,"Caldara, Antonio",,1724,+Z190172805,Mus.Hs.18223/2,72,https://data.onb.ac.at/rec/AC14316313,https://data.onb.ac.at/rep/131ABE6D,
AC14316313,Andromaca,"Caldara, Antonio",,1724,+Z190172908,Mus.Hs.18223/3,42,https://data.onb.ac.at/rec/AC14316313,https://data.onb.ac.at/rep/131ABE6E,
AC14316313,Andromaca,"Caldara, Antonio",,1724,+Z190173007,Mus.Hs.18223/4,48,https://data.onb.ac.at/rec/AC14316313,https://data.onb.ac.at/rep/131ABE6F,
AC14316314,Enone,"Caldara, Antonio","Zeno, Apostolo",1734,+Z19083260X,Mus.Hs.18224/1,182,https://data.onb.ac.at/rec/AC14316314,https://data.onb.ac.at/rep/131AA93A,
AC14316314,Enone,"Caldara, Antonio","Zeno, Apostolo",1734,+Z190837803,Mus.Hs.18224/2,178,https://data.onb.ac.at/rec/AC14316314,https://data.onb.ac.at/rep/131AA97D,
AC14316314,Enone,"Caldara, Antonio","Zeno, Apostolo",1734,+Z190837700,Mus.Hs.18224/3,138,https://data.onb.ac.at/rec/AC14316314,https://data.onb.ac.at/rep/131AA97C,
AC14316314,Enone,"Caldara, Antonio","Zeno, Apostolo",1734,+Z190837608,Mus.Hs.18224/4,162,https://data.onb.ac.at/rec/AC14316314,https://data.onb.ac.at/rep/131AA93D,
AC14316314,Enone,"Caldara, Antonio","Zeno, Apostolo",1734,+Z190837906,Mus.Hs.18224/5,134,https://data.onb.ac.at/rec/AC14316314,https://data.onb.ac.at/rep/131AA93E,
AC14316315,Enone,"Caldara, Antonio",,1734,+Z190169107,Mus.Hs.18225/1,84,https://data.onb.ac.at/rec/AC14316315,https://data.onb.ac.at/rep/131ABE0B,
AC14316315,Enone,"Caldara, Antonio",,1734,+Z190167809,Mus.Hs.18225/2,66,https://data.onb.ac.at/rec/AC14316315,https://data.onb.ac.at/rep/131ABE08,
AC14316315,Enone,"Caldara, Antonio",,1734,+Z190168000,Mus.Hs.18225/3,48,https://data.onb.ac.at/rec/AC14316315,https://data.onb.ac.at/rep/131ABE0A,
AC14316315,Enone,"Caldara, Antonio",,1734,+Z190167901,Mus.Hs.18225/4,76,https://data.onb.ac.at/rec/AC14316315,https://data.onb.ac.at/rep/131ABE09,
AC14316316,Semiramide in Ascalona,"Caldara, Antonio","Matteis, Nicola",1725,+Z190836100,Mus.Hs.18226/1,212,https://data.onb.ac.at/rec/AC14316316,https://data.onb.ac.at/rep/131AD44D,
AC14316316,Semiramide in Ascalona,"Caldara, Antonio","Matteis, Nicola",1725,+Z190836008,Mus.Hs.18226/2,146,https://data.onb.ac.at/rec/AC14316316,https://data.onb.ac.at/rep/131AD44C,
AC14316316,Semiramide in Ascalona,"Caldara, Antonio","Matteis, Nicola",1725,+Z190835909,Mus.Hs.18226/3,142,https://data.onb.ac.at/rec/AC14316316,https://data.onb.ac.at/rep/131AD44B,
AC14316316,Semiramide in Ascalona,"Caldara, Antonio","Matteis, Nicola",1725,+Z190835806,Mus.Hs.18226/4,128,https://data.onb.ac.at/rec/AC14316316,https://data.onb.ac.at/rep/131AD44A,
AC14316316,Semiramide in Ascalona,"Caldara, Antonio","Matteis, Nicola",1725,+Z190833901,Mus.Hs.18226/5,150,https://data.onb.ac.at/rec/AC14316316,https://data.onb.ac.at/rep/131AD449,
AC14316317,Apollo in cielo,"Caldara, Antonio","Pariati, Pietro",1720,+Z190831904,Mus.Hs.18241,388,https://data.onb.ac.at/rec/AC14316317,https://data.onb.ac.at/rep/131E9DB8,
AC14316318,Apollo in cielo,"Caldara, Antonio",,1720,+Z190179708,Mus.Hs.18242/1,42,https://data.onb.ac.at/rec/AC14316318,https://data.onb.ac.at/rep/131ABCE3,
AC14316318,Apollo in cielo,"Caldara, Antonio",,1720,+Z190179800,Mus.Hs.18242/2,34,https://data.onb.ac.at/rec/AC14316318,https://data.onb.ac.at/rep/131ABCE4,
AC14316318,Apollo in cielo,"Caldara, Antonio",,1720,+Z190181508,Mus.Hs.18242/3,26,https://data.onb.ac.at/rec/AC14316318,https://data.onb.ac.at/rep/131ABCE5,
AC14316318,Apollo in cielo,"Caldara, Antonio",,1720,+Z190181600,Mus.Hs.18242/4,46,https://data.onb.ac.at/rec/AC14316318,https://data.onb.ac.at/rep/131ABCE6,
AC14316319,"Lucio Papirio, dittatore","Caldara, Antonio","Zeno, Apostolo",1719,+Z190830407,Mus.Hs.18243/1,306,https://data.onb.ac.at/rec/AC14316319,https://data.onb.ac.at/dtl/7161059,
AC14316319,"Lucio Papirio, dittatore","Caldara, Antonio","Zeno, Apostolo",1719,+Z190831503,Mus.Hs.18243/2,210,https://data.onb.ac.at/rec/AC14316319,https://data.onb.ac.at/dtl/7162289,
AC14316319,"Lucio Papirio, dittatore","Caldara, Antonio","Zeno, Apostolo",1719,+Z190831400,Mus.Hs.18243/3,306,https://data.onb.ac.at/rec/AC14316319,https://data.onb.ac.at/dtl/7161674,
AC14316320,Lucio Papirio Dittatore,"Caldara, Antonio",,1719,+Z190816307,Mus.Hs.18244/1,121,https://data.onb.ac.at/rec/AC14316320,https://data.onb.ac.at/dtl/6259868,
AC14316320,Lucio Papirio Dittatore,"Caldara, Antonio",,1719,+Z190816204,Mus.Hs.18244/2,85,https://data.onb.ac.at/rec/AC14316320,https://data.onb.ac.at/dtl/6258701,
AC14316320,Lucio Papirio Dittatore,"Caldara, Antonio",,1719,+Z190816101,Mus.Hs.18244/3,57,https://data.onb.ac.at/rec/AC14316320,https://data.onb.ac.at/dtl/6257301,
AC14316320,Lucio Papirio Dittatore,"Caldara, Antonio",,1719,+Z190816009,Mus.Hs.18244/4,83,https://data.onb.ac.at/rec/AC14316320,https://data.onb.ac.at/dtl/6255247,
AC14316321,Alceste,"Porsile, Giuseppe","Pariati, Pietro",1718,+Z190191009,Mus.Hs.18245,386,https://data.onb.ac.at/rec/AC14316321,https://data.onb.ac.at/rep/131BADCD,
AC14316322,Alceste,"Porsile, Giuseppe",,1718,+Z190185903,Mus.Hs.18246/1,86,https://data.onb.ac.at/rec/AC14316322,https://data.onb.ac.at/rep/131ABBC3,
AC14316322,Alceste,"Porsile, Giuseppe",,1718,+Z190185800,Mus.Hs.18246/2,46,https://data.onb.ac.at/rec/AC14316322,https://data.onb.ac.at/rep/131ABBC4,
AC14316322,Alceste,"Porsile, Giuseppe",,1718,+Z190185708,Mus.Hs.18246/3,30,https://data.onb.ac.at/rec/AC14316322,https://data.onb.ac.at/rep/131ABBC5,
AC14316322,Alceste,"Porsile, Giuseppe",,1718,+Z190185605,Mus.Hs.18246/4,58,https://data.onb.ac.at/rec/AC14316322,https://data.onb.ac.at/rep/131ABBC6,
AC14316325,Ormisda,"Caldara, Antonio","Matteis, Nicola",1721,+Z190186907,Mus.Hs.18254/1,100,https://data.onb.ac.at/rec/AC14316325,https://data.onb.ac.at/rep/131ABBBE,
AC14316325,Ormisda,"Caldara, Antonio","Matteis, Nicola",1721,+Z190186701,Mus.Hs.18254/2,70,https://data.onb.ac.at/rec/AC14316325,https://data.onb.ac.at/rep/131ABBBD,
AC14316325,Ormisda,"Caldara, Antonio","Matteis, Nicola",1721,+Z190186804,Mus.Hs.18254/3,46,https://data.onb.ac.at/rec/AC14316325,https://data.onb.ac.at/rep/131ABBBC,
AC14316325,Ormisda,"Caldara, Antonio","Matteis, Nicola",1721,+Z190186609,Mus.Hs.18254/4,78,https://data.onb.ac.at/rec/AC14316325,https://data.onb.ac.at/rep/131ABBBB,
AC14316326,Cantata a 3 (voci),Unbekannt,,[ohne Jahresangabe],+Z104698706,Mus.Hs.18283,108,https://data.onb.ac.at/rec/AC14316326,https://data.onb.ac.at/dtl/4589101,
AC14316328,Serenata a 4 voci con strumenti,Unbekannt,,[ohne Jahresangabe],+Z135569707,Mus.Hs.18285,180,https://data.onb.ac.at/rec/AC14316328,https://data.onb.ac.at/dtl/5023071,
AC14316329,Gianguir,"Caldara, Antonio",,1724,+Z190837402,Mus.Hs.18298/1,202,https://data.onb.ac.at/rec/AC14316329,https://data.onb.ac.at/rep/131AA54D,
AC14316329,Gianguir,"Caldara, Antonio",,1724,+Z19083730X,Mus.Hs.18298/2,138,https://data.onb.ac.at/rec/AC14316329,https://data.onb.ac.at/rep/131AA54E,
AC14316329,Gianguir,"Caldara, Antonio",,1724,+Z190837207,Mus.Hs.18298/3,146,https://data.onb.ac.at/rec/AC14316329,https://data.onb.ac.at/rep/131AA54C,
AC14316329,Gianguir,"Caldara, Antonio",,1724,+Z190837104,Mus.Hs.18298/4,254,https://data.onb.ac.at/rec/AC14316329,https://data.onb.ac.at/rep/131AA54B,
AC14316329,Gianguir,"Caldara, Antonio",,1724,+Z190837001,Mus.Hs.18298/5,162,https://data.onb.ac.at/rec/AC14316329,https://data.onb.ac.at/rep/131AA54A,
AC14316330,Gianguir,"Caldara, Antonio",,1724,+Z190199409,Mus.Hs.18299/1,74,https://data.onb.ac.at/rec/AC14316330,https://data.onb.ac.at/rep/131AD000,
AC14316330,Gianguir,"Caldara, Antonio",,1724,+Z190199306,Mus.Hs.18299/2,76,https://data.onb.ac.at/rec/AC14316330,https://data.onb.ac.at/rep/131ACFFF,
AC14316330,Gianguir,"Caldara, Antonio",,1724,+Z190199203,Mus.Hs.18299/3,50,https://data.onb.ac.at/rec/AC14316330,https://data.onb.ac.at/rep/131ACFFE,
AC14316330,Gianguir,"Caldara, Antonio",,1724,+Z190199100,Mus.Hs.18299/4,52,https://data.onb.ac.at/rec/AC14316330,https://data.onb.ac.at/rep/131ACFFD,
AC14316330,Gianguir,"Caldara, Antonio",,1724,+Z190199008,Mus.Hs.18299/5,54,https://data.onb.ac.at/rec/AC14316330,https://data.onb.ac.at/rep/131ACFFC,
AC14316331,Scipione Affricano il Maggiore,"Porsile, Giuseppe",,1730,+Z190176100,Mus.Hs.18301/1,34,https://data.onb.ac.at/rec/AC14316331,https://data.onb.ac.at/rep/131ABE74,
AC14316331,Scipione Affricano il Maggiore,"Porsile, Giuseppe",,1730,+Z190175909,Mus.Hs.18301/2,34,https://data.onb.ac.at/rec/AC14316331,https://data.onb.ac.at/rep/131ABE75,
AC14316331,Scipione Affricano il Maggiore,"Porsile, Giuseppe",,1730,+Z190175806,Mus.Hs.18301/3,26,https://data.onb.ac.at/rec/AC14316331,https://data.onb.ac.at/rep/131ABE76,
AC14316331,Scipione Affricano il Maggiore,"Porsile, Giuseppe",,1730,+Z190175703,Mus.Hs.18301/4,30,https://data.onb.ac.at/rec/AC14316331,https://data.onb.ac.at/rep/131ABE77,
AC14316332,Il Giudizio Rivocato,"Porsile, Giuseppe",,1737,+Z190176501,Mus.Hs.18303/1,54,https://data.onb.ac.at/rec/AC14316332,https://data.onb.ac.at/rep/131ABE70,
AC14316332,Il Giudizio Rivocato,"Porsile, Giuseppe",,1737,+Z190176409,Mus.Hs.18303/2,34,https://data.onb.ac.at/rec/AC14316332,https://data.onb.ac.at/rep/131ABE71,
AC14316332,Il Giudizio Rivocato,"Porsile, Giuseppe",,1737,+Z190176306,Mus.Hs.18303/3,30,https://data.onb.ac.at/rec/AC14316332,https://data.onb.ac.at/rep/131ABE72,
AC14316332,Il Giudizio Rivocato,"Porsile, Giuseppe",,1737,+Z190176203,Mus.Hs.18303/4,34,https://data.onb.ac.at/rec/AC14316332,https://data.onb.ac.at/rep/131ABE73,
AC14316333,La castita al cimento,"Caldara, Antonio",,1712,+Z322226606,Mus.Hs.18311,212,https://data.onb.ac.at/rec/AC14316333,https://data.onb.ac.at/rep/132083F4,
AC14316334,La castita al cimento,Unbekannt,,1712,+Z322226904,Mus.Hs.18312,142,https://data.onb.ac.at/rec/AC14316334,https://data.onb.ac.at/rep/132092B3,
AC14316336,Santa Eufrosina,"Ziani, Marc' Antonio",,1713,+Z322227106,Mus.Hs.18314,90,https://data.onb.ac.at/rec/AC14316336,https://data.onb.ac.at/rep/132092B4,
AC14316337,Il Gedeone,"Porpora, Nicola",,1737,+Z322227209,Mus.Hs.18316,200,https://data.onb.ac.at/rec/AC14316337,https://data.onb.ac.at/rep/132083F0,
AC14318321,S. Geltrude,"Badia, Carlo Agostino",,1711,+Z283580606,Mus.Hs.17082,140,https://data.onb.ac.at/rec/AC14318321,https://data.onb.ac.at/rep/131F4346,
AC14318323,Ismaelle,"Badia, Carlo Agostino",,1717,+Z283578405,Mus.Hs.17057,178,https://data.onb.ac.at/rec/AC14318323,https://data.onb.ac.at/rep/131FBEBD,
AC14318327,Il Sacrificio d'Berenice,"Badia, Carlo Agostino",,1712,+Z190107606,Mus.Hs.17676/1,34,https://data.onb.ac.at/rec/AC14318327,https://data.onb.ac.at/dtl/9577482,
AC14318327,Il Sacrificio d'Berenice,"Badia, Carlo Agostino",,1712,+Z190107709,Mus.Hs.17676/2,34,https://data.onb.ac.at/rec/AC14318327,https://data.onb.ac.at/dtl/9577356,
AC14318327,Il Sacrificio d'Berenice,"Badia, Carlo Agostino",,1712,+Z190107801,Mus.Hs.17676/3,27,https://data.onb.ac.at/rec/AC14318327,https://data.onb.ac.at/dtl/9577426,
AC14318327,Il Sacrificio d'Berenice,"Badia, Carlo Agostino",,1712,+Z190107904,Mus.Hs.17676/4,46,https://data.onb.ac.at/rec/AC14318327,https://data.onb.ac.at/dtl/9578722,
AC14318390,Ercole in Cielo,"Fiorè, Andrea Stefano","Pariati, Pietro",[1707],+Z142612808,Mus.Hs.17259,300,https://data.onb.ac.at/rec/AC14318390,https://data.onb.ac.at/dtl/4752859,
AC14318416,Il Premio dell'Onore,"Hellmann, Maximilian Joseph",,1737,+Z190100600,Mus.Hs.17294/1,38,https://data.onb.ac.at/rec/AC14318416,https://data.onb.ac.at/dtl/9212802,
AC14318416,Il Premio dell'Onore,"Hellmann, Maximilian Joseph",,1737,+Z190100508,Mus.Hs.17294/2,22,https://data.onb.ac.at/rec/AC14318416,https://data.onb.ac.at/dtl/9212880,
AC14318416,Il Premio dell'Onore,"Hellmann, Maximilian Joseph",,1737,+Z190100405,Mus.Hs.17294/3,22,https://data.onb.ac.at/rec/AC14318416,https://data.onb.ac.at/dtl/9212926,
AC14318535,Giobbe,"Perroni, Giovanni",,1725,+Z323227801,Mus.Hs.18208,216,https://data.onb.ac.at/rec/AC14318535,https://data.onb.ac.at/rep/13209207,
AC14318536,Il sacrificio di Noe,"Perroni, Giovanni",,1722,+Z190173901,Mus.Hs.18210/1,54,https://data.onb.ac.at/rec/AC14318536,https://data.onb.ac.at/rep/131ABD8C,
